id,name
600001,Home Supplies
600024,Kitchenware
600154,Textiles & Soft Furnishings
600942,Household Appliances
601152,Womenswear & Underwear
601303,Muslim Fashion
601352,Shoes
601450,Beauty & Personal Care
601739,Phones & Electronics
601755,Computers & Office Equipment
602118,Pet Supplies
602284,Baby & Maternity
603014,Sports & Outdoor
604206,Toys & Hobbies
604453,Furniture
604579,Tools & Hardware
604968,Home Improvement
605196,Automotive & Motorcycle
605248,Fashion Accessories
700437,Food & Beverages
700645,Health
801928,"Books, Magazines & Audio"
802184,Kids' Fashion
824328,Menswear & Underwear
824584,Luggage & Bags
856720,Pre-Owned
951432,Collectibles
953224,Jewelry Accessories & Derivatives
601304,Hijabs
601310,Women's Islamic Clothing
601325,Men's Islamic Clothing
601331,Outerwear
601339,Kids' Islamic Clothing
601343,Islamic Accessories
601348,Prayer Attire & Equipment
700646,Nutrition & Wellness
802312,Boys' Clothes
803592,Girls' Clothes
805128,Boys' Footwear
806024,Girls' Footwear
806792,Kids' Fashion Accessories
808208,Solar & Wind Power
808328,Bedding and Linens
809488,Auto Replacement Parts
809616,Motorcycle Parts
809744,Milk & Dairy
809872,Cultural Items
809992,Household Textiles
810000,Trading Cards & Accessories
810128,Hair Extensions & Wigs
811016,Fabrics & Sewing Supplies
812168,Dog & Cat Food
812808,Dog & Cat Furniture
813960,Dog & Cat Clothing
815624,Dog & Cat Litter
816392,Dog & Cat Grooming
818184,Dog & Cat Healthcare
818696,Dog & Cat Accessories
819848,Fish & Aquatic Supplies
821000,Reptile & Amphibian Supplies
821896,Bird Supplies
822792,Small Animal Supplies
824840,"Desktop Computers, Laptops & Tablets"
825352,Desktop & Laptop Components
826760,Computer Accessories
828168,Data Storage & Software
829192,Network Components
830344,Office Equipment
831112,Office Stationery & Supplies
834568,Sport & Outdoor Clothing
834696,Sports Footwear
834824,Sports & Outdoor Accessories
834952,Ball Sports
835080,Water Sports
835208,Winter Sports
835336,Fitness
835464,Camping & Hiking
835592,Leisure & Outdoor Recreation Equipment
838920,Islamic Sportswear
839176,Umroh Equipment
839944,Men's Tops
